CandidateName,Collaborators,Developer,Current_Phase,Technology,Trials_Randomized,design,current_countries,Status,phase12_primary_completion_date,phase1_primary_completion_date,phase2_primary_completion_date,phase3_primary_completion_date,phase0_date,phase12_start_date,phase12_end_date,phase1_start_date,phase1_end_date,phase2_start_date,phase2_end_date,phase3_start_date,phase3_end_date,trial_number,currentDate,phase12_overlap,phase23_overlap,time_taken_till_now,fund (in USD),disadvantage_count,advantage_count,feasibility_count,prv_success_count,phase12_trials,phase1_trials,phase2_trials,phase3_trials,num_cases,above_60_trials,less_than_18,phase2_age,phase3_age,phase12_time,phase1_time,phase2_time,phase3_time,phase4_time,est_phase12_time,est_phase1_time,est_phase2_time,est_phase3_time,,phase12_trials,
Ad26.COV2.S,Johnson and Johnson,Janssen Pharmaceutical Companies,Phase III,Non-replicating viral vector,1,Double-blind,"USA, Argentina, Brazil, others",Recruiting,1631644200,1610044200,0,1678386600,0,1594751400,0,1597084200,0,0,0,1599417000,0,NCT04505722,1603556038,8804638,4139038,6471838,1457887080,4,9,0,980,1045,250,0,60000,0,1,0,,,0,0,0,0,0,36892800,12960000,NULL,78969600,,1045,
Ad5-nCoV,"National Key R&D Program of China, National Science and Technology Major Project, and CanSino Biologic","CanSino Biological Inc/Beijing Institute of Biotechnology, Institute of Biotechnology",Phase III,Non-replicating viral vector,1,Double-blind,"Pakistan,Russia",Recruiting,0,1603564200,1629484200,1640802600,0,0,0,1601058600,0,1600885800,0,1600108200,0,"NCT04526990,NCT04540419",1603556038,2670238,3447838,2497438,1100000000,4,9,0,1,696,341,989,40500,0,1,1,,,0,0,0,0,0,NULL,2505600,28598400,40694400,,696,
AG0301-COVID19,"Japan Agency for Medical Research and Development,AnGes Inc.",Osaka University/AnGes/Takara Bio,Phase I/II,DNA,0,"Open-label, dose-finding",Japan,"Active, not recruiting",0,1627669800,0,0,0,1593369000,0,0,0,0,0,0,0,"NCT04527081,NCT04463472",1603556038,0,0,10187038,0,4,15,0,37,30,0,0,0,0,1,0,,,0,0,0,0,0,NULL,1627669800,NULL,NULL,,30,
AV-COVID-19,"Aivita Biomedical, Inc.",Aivita Biomedical Inc,Phase I/II,Other,1,"Double-blind, dose-finding",USA,Not yet recruiting,1606761000,0,0,0,0,1593541800,0,0,0,0,0,0,0,NCT04386252,1603556038,10014238,0,10014238,0,NULL,NULL,0,2,180,0,0,0,0,1,0,,,0,0,0,0,0,13219200,NULL,NULL,NULL,,180,
BBIBP-CorV,"Beijing Institute of Biological Products Co. Ltd,China National Biotec Group Company Limited,The Huesped Foundation",Beijing Institute of Biological Products/Sinopharm,Phase III,Inactivated,1,"Double-blind, dose-finding",Argentina,Recruiting,1606674600,0,0,1638297000,0,1587580200,0,0,0,0,0,1600194600,0,NCT04560881,1603556038,3361438,3361438,15975838,0,7,10,0,2,2584,0,0,0,48600,1,1,,,0,0,0,0,0,19094400,NULL,NULL,38102400,,2584,
BNT162 (b1/b2),"Shanghai Fosun Pharmaceutical Development, Inc. ",BioNTech/Fosun Pharma/Pfizer,Phase II/III,RNA,1,"Double-blind, dose-finding","USA, Argentina, Brazil, Germany",Recruiting,1630434600,0,0,1623522600,0,1603524243,0,0,0,0,0,1623522600,0,"NCT04368728,NCT04380701",1603556038,-1,0,31795,1950000000,4,10,0,1144,44574,144,0,0,0,1,0,,,0,0,0,0,0,26910357,NULL,NULL,0,,44574,
ChAdOx1-S,"University Of Oxford (UK), South African Medical Research Committee, Bill and Melinda Gates Foundation, Iqvia Pty Ltd., Covance","University of Oxford/AstraZeneca/Iqvia Pty Ltd
Covance",Phase III,Non-replicating viral vector,1,Double-blind,"USA,Brazil",Not yet recruiting,1630866600,0,0,1614882600,0,1598121000,0,0,0,0,0,1597602600,0,NCT04516746,1603556038,5953438,5953438,5435038,1200000000,4,9,0,2609,17092,0,0,37100,0,1,1,,,0,0,0,0,0,32745600,NULL,NULL,17280000,,17092,
CoronaVac,"Sinovac Research and Development Co., Ltd.",Sinovac/Instituto Butantan,Phase III,Inactivated,1,Double-blind,"Turkey,Brazil,Indonesia",Recruiting,1586975400,0,0,1630434600,0,1586975400,0,0,0,0,0,1601231400,0,"NCT04582344,NCT04456595,NCT04508075,NCT04536051",1603556038,2324638,2324638,16580638,0,7,10,0,62,1718,0,0,23490,0,1,1,,,0,0,0,0,0,0,NULL,NULL,29203200,,1718,
COVAXIN,"Bharat Biotech International Limited,Indian Council of Medical Research",Bharat Biotech/ICMR/National Institute of Virology,Phase I/II,Inactivated,1,Double-blind,India,"Active, not recruiting",1624991400,0,0,0,0,1594578600,0,0,0,0,0,0,0,NCT04471519,1603556038,8977438,0,8977438,,7,10,0,300,879,0,0,0,0,1,1,,,0,0,0,0,0,30412800,NULL,NULL,NULL,,879,
CVnCoV,"CureVac AG,Coalition for Epidemic Preparedness Innovations (CEPI)",CureVac,Phase II,RNA,1,"Double-blind, dose-confirmation",Peru,Recruiting,0,1633026600,1636396200,0,0,0,0,1592418600,0,1601231400,0,0,0,NCT04515147,1603556038,2324638,0,11137438,0,4,10,0,693,0,168,691,0,0,1,0,,,0,0,0,0,0,NULL,40608000,35164800,NULL,,0,
