Institutes,Name,Phase,Vaccine,Platform,N,Age (years),N doses,Randomised,Design,lat,long,Location,Start date,Primary completion date,Trial number,Link,Status
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,60000,≥18,1,Yes,Double-blind,45.0902,-95.7129,"USA, Argentina, Brazil, others",07-09-20,10-03-23,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,Recruiting
Beijing Institute of Biological Products/Wuhan Institute of Biological Products/Sinopharm,Inactivated vaccine,Phase III,WIBP/BIBP/Sinopharm vaccines,Inactivated,45000,≥18,2,Yes,Double-blind,23.4241,53.8478,"UAE, Bahrain, Jordan, Egypt",16-07-20,16-03-21,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Yes,Double-blind,30.3753,69.3451,Pakistan,15-09-20,30-12-21,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac,Phase III,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,40000,≥18,2,Yes,Double-blind,61.524,105.3188,Russia,07-09-20,01-05-21,NCT04530396,https://clinicaltrials.gov/ct2/show/NCT04530396,Recruiting
Moderna/NIAID,mRNA-1273,Phase III,Moderna mRNA-1273,RNA,30000,≥18,2,Yes,Double-blind,32.0902,-85.7129,USA,27-07-20,27-10-22,NCT04470427,https://clinicaltrials.gov/ct2/show/NCT04470427,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,30000,≥18,2,Yes,Double-blind,47.0902,-93.7129,USA,17-08-20,02-12-20,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,Not yet recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,13000,18–59,2,Yes,Double-blind,38.9637,35.2433,Turkey,14-09-20,15-02-21,NCT04582344,https://clinicaltrials.gov/ct2/show/NCT04582344,Recruiting
Novavax,NVX-CoV2373,Phase III,Novavax NVX-CoV2373,Protein subunit,9000,18–84,2,Yes,Double-blind,55.3781,-3.436,UK,28-09-20,31-01-21,NCT04583995,https://clinicaltrials.gov/ct2/show/NCT04583995,Recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,8870,≥18,2,Yes,Double-blind,-14.235,-51.9253,Brazil,21-07-20,30-09-21,NCT04456595,https://clinicaltrials.gov/ct2/show/NCT04456595,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,5000,≥18,1 or 2,Yes,Single-blind,-14.235,-51.9253,Brazil,02-06-20,30-09-21,NCT04536051,https://clinicaltrials.gov/ct2/show/NCT04536051,Recruiting
Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,BIBP/Sinopharm BBIBP-CorV,Inactivated,3000,18–85,2,Yes,Double-blind,-38.4161,-63.6167,Argentina,16-09-20,01-12-21,NCT04560881,https://clinicaltrials.gov/ct2/show/NCT04560881,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,2000,18–55,1,Yes,Single-blind,-14.235,-51.9253,Brazil,01-05-20,31-10-21,ISRCTN89951424,http://www.isrctn.com/ISRCTN89951424,No longer recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,1620,18–59,2,Yes,Double-blind,-0.7893,113.9213,Indonesia,10-08-20,31-01-21,NCT04508075,https://clinicaltrials.gov/ct2/show/NCT04508075,Recruiting
Wuhan Institute of Biological Products/Sinopharm,Inactivated vaccine,Phase III,WIBP vaccine,Inactivated,600,≥18,2,Yes,Double-blind,31.7917,-7.0926,Morocco,02-09-20,31/012/2020,ChiCTR2000039000,http://www.chictr.org.cn/showprojen.aspx?proj=62581,Recruiting
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,500,18–85,1,Yes,Double-blind,61.524,105.3188,Russia,11-09-20,30-11-20,NCT04540419,https://clinicaltrials.gov/ct2/show/NCT04540419,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac,Phase III,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,100,18–60,2,Yes,Double-blind,53.7098,27.9534,Belarus,28-09-20,28-03-21,NCT04564716,https://clinicaltrials.gov/ct2/show/NCT04564716,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,100,≥18,2,No,Open-label,61.524,105.3188,Russia,26-08-20,05-03-21,NCT04540393,https://clinicaltrials.gov/ct2/show/NCT04540393,Not yet recruiting
BioNTech/Fosun Pharma/Pfizer,BNT162 (b1/b2),Phase II/III,BioNTech BNT162 (b1/b2),RNA,43998,≥16,2,Yes,"Double-blind, dose-finding",37.0902,-95.7129,"USA, Argentina, Brazil, others",29-04-20,13-06-21,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase II/III,Oxford ChAdOx1-S,Non-replicating viral vector,12390,≥5,1 or 2,Yes,Single-blind,55.3781,-3.436,UK,28-05-20,31-08-21,NCT04400838,https://clinicaltrials.gov/ct2/show/NCT04400838,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase II/III,Oxford ChAdOx1-S,Non-replicating viral vector,1600,≥18,2,Yes,Single-blind,20.5937,78.9629,India,24-08-20,24-03-21,CTRI/2020/08/027170,http://ctri.nic.in/Clinicaltrials/showallp.php?mid1=46186&EncHid=&userName=covid-19%20vaccine,Recruiting
Novavax,NVX-CoV2373,Phase II,Novavax NVX-CoV2373,Protein subunit,2904,18–64,2,Yes,Single-blind,-30.5595,22.9375,South Africa,17-08-20,30-11-21,NCT04533399,https://clinicaltrials.gov/ct2/show/NCT04533399,Recruiting
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,RBD-Dimer vaccine,Phase II,AZLB protein subunit vaccine,Protein subunit,900,18–59,2 or 3,Yes,Double-blind,35.8617,104.1954,China,12-07-20,15-09-21,NCT04466085,https://clinicaltrials.gov/ct2/show/NCT04466085,Recruiting
CureVac,CVnCoV,Phase II,Curevac CVnCoV,RNA,691,≥18,2,Yes,"Double-blind, dose-confirmation",-9.19,-75.0152,Peru,28-09-20,09-11-21,NCT04515147,https://clinicaltrials.gov/ct2/show/NCT04515147,Recruiting
Moderna/NIAID,mRNA-1273,Phase II,Moderna mRNA-1273,RNA,600,≥18,2,Yes,"Observer-blind, dose-confirmation",37.0902,-95.7129,USA,29-05-20,31-03-21,NCT04405076,https://clinicaltrials.gov/ct2/show/NCT04405076,"Active, not recruiting"
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase II,Cansino Ad5-nCoV,Non-replicating viral vector,508,18–60,1,Yes,Double-blind,35.8617,104.1954,China,12-04-20,31-01-21,NCT04341389,https://clinicaltrials.gov/ct2/show/NCT04341389,"Active, not recruiting"
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase II,Cansino Ad5-nCoV,Non-replicating viral vector,481,≥6,2,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,24-09-20,21-08-21,NCT04566770,https://clinicaltrials.gov/ct2/show/NCT04566770,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac,Phase II,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,110,≥60,2,No,Open-label,61.524,105.3188,Russia,15-10-20,15-12-20,NCT04587219,https://clinicaltrials.gov/ct2/show/NCT04587219,Not yet recruiting
Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase I/II,BIBP/Sinopharm BBIBP-CorV,Inactivated,2128,≥3,Up to 3,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,28-04-20,28-11-21,ChiCTR2000032459,http://www.chictr.org.cn/historyversionpuben.aspx?regno=ChiCTR2000032459,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase I/II,Oxford ChAdOx1-S,Non-replicating viral vector,2000,18–65,1 or 2,Yes,Double-blind,-30.5595,22.9375,South Africa,24-06-20,31-10-20,NCT04444674,https://clinicaltrials.gov/ct2/show/NCT04444674,Recruiting
Novavax,NVX-CoV2373,Phase I/II,Novavax NVX-CoV2373,Protein subunit,1419,18–84,1 or 2,Yes,"Double-blind, dose-finding",-25.2744,133.7751,"Australia, USA",25-05-20,01-12-20,NCT04368988,https://clinicaltrials.gov/ct2/show/NCT04368988,"Active, not recruiting"
